"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2017","2017","USD","US Dollar","0","Units",,,56570,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2018","2018","USD","US Dollar","0","Units",,,57292,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2019","2019","USD","US Dollar","0","Units",,,58935,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2001","2001","PER","Persons","0","Units",,,80,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2002","2002","PER","Persons","0","Units",,,81,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2003","2003","PER","Persons","0","Units",,,83,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2004","2004","PER","Persons","0","Units",,,85,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2005","2005","PER","Persons","0","Units",,,87,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2006","2006","PER","Persons","0","Units",,,89,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2007","2007","PER","Persons","0","Units",,,92,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2008","2008","PER","Persons","0","Units",,,94,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2009","2009","PER","Persons","0","Units",,,96,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2010","2010","PER","Persons","0","Units",,,98,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2011","2011","PER","Persons","0","Units",,,100,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2012","2012","PER","Persons","0","Units",,,102,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2013","2013","PER","Persons","0","Units",,,104,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2014","2014","PER","Persons","0","Units",,,106,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2015","2015","PER","Persons","0","Units",,,109,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2016","2016","PER","Persons","0","Units",,,111,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2017","2017","PER","Persons","0","Units",,,113,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2018","2018","PER","Persons","0","Units",,,115,,
"USA19","San Antonio","POP_DEN","Population density (inhabitants per km2)","2019","2019","PER","Persons","0","Units",,,116,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2001","2001","USD","US Dollar","0","Units",,,52573,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2002","2002","USD","US Dollar","0","Units",,,54492,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2003","2003","USD","US Dollar","0","Units",,,57020,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2004","2004","USD","US Dollar","0","Units",,,59749,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2005","2005","USD","US Dollar","0","Units",,,62267,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2006","2006","USD","US Dollar","0","Units",,,63321,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2007","2007","USD","US Dollar","0","Units",,,63644,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2008","2008","USD","US Dollar","0","Units",,,61787,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2009","2009","USD","US Dollar","0","Units",,,59149,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2010","2010","USD","US Dollar","0","Units",,,58897,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2011","2011","USD","US Dollar","0","Units",,,58891,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2012","2012","USD","US Dollar","0","Units",,,58732,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2013","2013","USD","US Dollar","0","Units",,,60355,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2014","2014","USD","US Dollar","0","Units",,,61283,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2015","2015","USD","US Dollar","0","Units",,,63251,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2016","2016","USD","US Dollar","0","Units",,,63429,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2017","2017","USD","US Dollar","0","Units",,,65041,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2018","2018","USD","US Dollar","0","Units",,,66203,,
"USA16","San Diego","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2019","2019","USD","US Dollar","0","Units",,,67983,,
"USA63","Richland","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2001","2001","USD","US Dollar","0","Units",,,44076,,
"USA63","Richland","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2002","2002","USD","US Dollar","0","Units",,,44531,,
"USA63","Richland","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2003","2003","USD","US Dollar","0","Units",,,45341,,
"USA63","Richland","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2004","2004","USD","US Dollar","0","Units",,,46456,,
"USA63","Richland","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2005","2005","USD","US Dollar","0","Units",,,47147,,
"USA63","Richland","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2006","2006","USD","US Dollar","0","Units",,,48068,,
